"PositionID","ObservationID","GroupID","Transect","SpeciesCodeType","SpeciesCode","Count","ObservationDistance","LifeStage","Moult","Plumage","Sex","TravelDirection","Prey","Association","Behaviour","Notes"
110065925,1100327319,NA,TRUE,"ESAS","720",4,"B",NA,NA,NA,NA,NA,NA,NA,"94",NA
110065925,1100327320,NA,FALSE,"ESAS","720",1,"B",NA,NA,NA,NA,NA,NA,NA,"94",NA
110065925,1100327321,NA,FALSE,"ESAS","5900",1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110065925,1100327322,NA,FALSE,"ESAS","5820",1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110065926,1100327323,NA,FALSE,"ESAS","5900",1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110065926,1100327324,NA,FALSE,"ESAS","5900",1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110065926,1100327325,NA,FALSE,"ESAS","6000",1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110065926,1100327326,NA,FALSE,"ESAS","5900",1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110065926,1100327327,NA,FALSE,"ESAS","5900",1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110065926,1100327328,NA,FALSE,"ESAS","5900",1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110065926,1100327329,NA,FALSE,"ESAS","5900",1,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110065926,1100327330,NA,FALSE,"ESAS","5900",1,"F","3",NA,NA,NA,NA,NA,NA,NA,NA
110065927,1100327331,NA,FALSE,"ESAS","90",2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA
110065927,1100327332,NA,FALSE,"ESAS","720",2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA
110065927,1100327333,NA,FALSE,"ESAS","5900",2,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110065927,1100327334,NA,FALSE,"ESAS","5900",2,"F","A",NA,NA,NA,NA,NA,NA,NA,NA
110065928,1100327335,NA,FALSE,"ESAS","63510",2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
